site,sex,age,svl
1,1,13,55.8
2,2,6,36.7
1,1,10,56.2
1,1,3,31.5
1,2,5,34.1
1,2,10,43.7
1,1,10,43.3
2,1,10,43.4
2,2,3,30.2
1,2,2,28.2
1,1,2,27.1
1,2,9,48.8
1,1,4,30.5
1,1,6,48.7
1,2,8,43.2
2,1,7,44.5
1,2,2,24.4
2,2,8,38.6
2,2,7,44.2
1,1,10,51
1,2,7,37.5
1,2,8,44.9
2,1,11,42.9
1,1,7,47.7
2,2,5,35
1,2,8,45.4
1,1,9,48.5
2,2,11,43.4
1,2,9,43.6
1,1,9,54.8
2,1,3,28.5
2,2,4,33.1
1,1,9,57.9
1,1,12,61.8
1,2,10,41.8
1,1,9,57.6
2,2,4,32.1
2,1,8,40.6
2,1,8,48.8
2,1,7,43.8
1,1,11,58.4
1,2,9,45.2
2,2,11,39.6
2,1,7,48.4
1,1,8,49.8
1,1,9,49.4
1,1,7,46
2,2,6,37.4
1,1,9,49.6
2,2,6,42.5
1,1,13,59.2
2,1,12,51.3
2,1,8,44.9
1,1,10,54